region,date,new_cases,cases
BW,04/03/2020,37,91
BW,05/03/2020,33,124
BW,06/03/2020,41,165
BW,07/03/2020,31,196
BW,08/03/2020,19,215
BW,09/03/2020,50,265
BW,10/03/2020,109,374
BW,11/03/2020,134,508
BW,12/03/2020,168,676
BW,13/03/2020,257,933
BW,14/03/2020,274,1207
BW,15/03/2020,169,1376
BW,16/03/2020,330,1706
BW,17/03/2020,462,2168
BW,18/03/2020,601,2769
BW,19/03/2020,530,3299
BW,20/03/2020,679,3978
BW,21/03/2020,467,4445
BW,22/03/2020,453,4898
BW,23/03/2020,547,5445
BW,24/03/2020,884,6329
BW,25/03/2020,930,7259
BW,26/03/2020,990,8249
BW,27/03/2020,1027,9276
BW,28/03/2020,879,10155
BW,29/03/2020,560,10715
BW,30/03/2020,772,11487
BW,31/03/2020,980,12467
BW,01/04/2020,983,13450
BW,02/04/2020,1095,14545
BY,04/03/2020,10,47
BY,05/03/2020,18,65
BY,06/03/2020,43,108
BY,07/03/2020,18,126
BY,08/03/2020,20,146
BY,09/03/2020,77,223
BY,10/03/2020,91,314
BY,11/03/2020,109,423
BY,12/03/2020,116,539
BY,13/03/2020,189,728
BY,14/03/2020,181,909
BY,15/03/2020,131,1040
BY,16/03/2020,215,1255
BY,17/03/2020,332,1587
BY,18/03/2020,513,2100
BY,19/03/2020,613,2713
BY,20/03/2020,595,3308
BY,21/03/2020,812,4120
BY,22/03/2020,429,4549
BY,23/03/2020,576,5125
BY,24/03/2020,901,6026
BY,25/03/2020,1216,7242
BY,26/03/2020,1160,8402
BY,27/03/2020,1182,9584
BY,28/03/2020,1107,10691
BY,29/03/2020,664,11355
BY,30/03/2020,830,12185
BY,31/03/2020,1306,13491
BY,01/04/2020,1464,14955
BY,02/04/2020,1498,16453
BE,04/03/2020,3,9
BE,05/03/2020,10,19
BE,06/03/2020,5,24
BE,07/03/2020,1,25
BE,08/03/2020,11,36
BE,09/03/2020,21,57
BE,10/03/2020,32,89
BE,11/03/2020,38,127
BE,12/03/2020,45,172
BE,13/03/2020,56,228
BE,14/03/2020,26,254
BE,15/03/2020,26,280
BE,16/03/2020,59,339
BE,17/03/2020,84,423
BE,18/03/2020,127,550
BE,19/03/2020,149,699
BE,20/03/2020,141,840
BE,21/03/2020,113,953
BE,22/03/2020,57,1010
BE,23/03/2020,141,1151
BE,24/03/2020,178,1329
BE,25/03/2020,211,1540
BE,26/03/2020,250,1790
HE,04/03/2020,2,14
HE,05/03/2020,6,20
HE,06/03/2020,1,21
HE,07/03/2020,4,25
HE,08/03/2020,0,25
HE,09/03/2020,19,44
HE,10/03/2020,16,60
HE,11/03/2020,35,95
HE,12/03/2020,34,129
HE,13/03/2020,70,199
HE,14/03/2020,67,266
HE,15/03/2020,19,285
HE,16/03/2020,108,393
HE,17/03/2020,142,535
HE,18/03/2020,197,732
HE,19/03/2020,174,906
HE,20/03/2020,180,1086
HE,21/03/2020,126,1212
HE,22/03/2020,57,1269
HE,23/03/2020,235,1504
HE,24/03/2020,214,1718
HE,25/03/2020,230,1948
HE,26/03/2020,272,2220
HE,27/03/2020,260,2480
HE,28/03/2020,170,2650
HE,29/03/2020,129,2779
HE,30/03/2020,172,2951
HE,31/03/2020,233,3184
HE,01/04/2020,294,3478
NI,04/03/2020,4,14
NI,05/03/2020,6,20
NI,06/03/2020,7,27
NI,07/03/2020,8,35
NI,08/03/2020,4,39
NI,09/03/2020,12,51
NI,10/03/2020,32,83
NI,11/03/2020,55,138
NI,12/03/2020,51,189
NI,13/03/2020,85,274
NI,14/03/2020,60,334
NI,15/03/2020,57,391
NI,16/03/2020,131,522
NI,17/03/2020,140,662
NI,18/03/2020,204,866
NI,19/03/2020,205,1071
NI,20/03/2020,219,1290
NI,21/03/2020,156,1446
NI,22/03/2020,94,1540
NI,23/03/2020,206,1746
NI,24/03/2020,246,1992
NI,25/03/2020,282,2274
NI,26/03/2020,311,2585
NW,04/03/2020,68,191
NW,05/03/2020,71,262
NW,06/03/2020,57,319
NW,07/03/2020,54,373
NW,08/03/2020,25,398
NW,09/03/2020,82,480
NW,10/03/2020,154,634
NW,11/03/2020,171,805
NW,12/03/2020,234,1039
NW,13/03/2020,313,1352
NW,14/03/2020,224,1576
NW,15/03/2020,181,1757
NW,16/03/2020,421,2178
NW,17/03/2020,624,2802
NW,18/03/2020,551,3353
NW,19/03/2020,843,4196
NW,20/03/2020,662,4858
NW,21/03/2020,525,5383
NW,22/03/2020,371,5754
NW,23/03/2020,676,6430
NW,24/03/2020,632,7062
NW,25/03/2020,832,7894
NW,26/03/2020,864,8758
NW,27/03/2020,906,9664
NW,28/03/2020,645,10309
NW,29/03/2020,547,10856
NW,30/03/2020,655,11511
NW,31/03/2020,867,12378
NW,01/04/2020,932,13310
NW,02/04/2020,955,14265
RP,04/03/2020,4,7
RP,05/03/2020,1,8
RP,06/03/2020,2,10
RP,07/03/2020,2,12
RP,08/03/2020,3,15
RP,09/03/2020,6,21
RP,10/03/2020,15,36
RP,11/03/2020,26,62
RP,12/03/2020,57,119
RP,13/03/2020,48,167
RP,14/03/2020,40,207
RP,15/03/2020,65,272
RP,16/03/2020,91,363
RP,17/03/2020,129,492
RP,18/03/2020,131,623
RP,19/03/2020,114,737
RP,20/03/2020,156,893
RP,21/03/2020,102,995
RP,22/03/2020,113,1108
RP,23/03/2020,166,1274
RP,24/03/2020,172,1446
RP,25/03/2020,150,1596
RP,26/03/2020,179,1775
RP,27/03/2020,241,2016
