date,cases,new_hosps,hospitalisations,
06/03/2020,,1,,
07/03/2020,,0,,
08/03/2020,176,1,1,
09/03/2020,205,3,6,
10/03/2020,400,7,14,
11/03/2020,598,5,18,
12/03/2020,702,3,24,Closed schools and non-essential businesses. Sports and cultural events banned. Restirctions on restaurants. 
13/03/2020,996,7,31,
14/03/2020,1090,10,47,Advised against foreign travel
15/03/2020,1221,8,59,
16/03/2020,1333,17,82,Closed ports and airports to all but re-patriating citizens and imported goods. 
17/03/2020,1463,11,112,
18/03/2020,1550,22,139,
19/03/2020,1746,31,162,
20/03/2020,1914,29,186,
21/03/2020,2118,23,215,
22/03/2020,2385,27,255,
23/03/2020,2621,37,305,
24/03/2020,2863,41,348,
25/03/2020,3084,56,383,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
